onset	duration	Condition Name
15.999	0.5	Letters Letters
17.499	0.5	MirroredDigits MirroredDigits
19.999	0.5	MirroredDigits MirroredDigits
21.499	0.5	MirroredDigits MirroredDigits
23.999	0.5	ScrambledLetters ScrambledLetters
26.499	0.5	ScrambledDigits ScrambledDigits
29.999	0.5	Letters Letters
33.499	0.5	Digits Digits
35.999	0.5	Digits Digits
39.498	0.5	MirroredDigits MirroredDigits
41.998	0.5	MirroredLetters MirroredLetters
43.498	0.5	ScrambledDigits ScrambledDigits
45.998	0.5	ScrambledLetters ScrambledLetters
48.498	0.5	Hash_Red Hash_Red
50.998	0.5	Letters Letters
52.498	0.5	ScrambledLetters ScrambledLetters
53.998	0.5	MirroredLetters MirroredLetters
57.498	0.5	ScrambledDigits ScrambledDigits
58.998	0.5	Hash_Red Hash_Red
61.497	0.5	ScrambledDigits ScrambledDigits
62.997	0.5	Digits Digits
64.497	0.5	MirroredLetters MirroredLetters
66.997	0.5	Digits Digits
69.497	0.5	ScrambledDigits ScrambledDigits
72.997	0.5	ScrambledDigits ScrambledDigits
75.497	0.5	MirroredDigits MirroredDigits
76.997	0.5	MirroredLetters MirroredLetters
79.497	0.5	Letters Letters
82.997	0.5	ScrambledDigits ScrambledDigits
84.496	0.5	Digits Digits
86.996	0.5	Hash_Red Hash_Red
90.496	0.5	MirroredLetters MirroredLetters
93.996	0.5	Letters Letters
96.496	0.5	MirroredDigits MirroredDigits
97.996	0.5	ScrambledLetters ScrambledLetters
101.496	0.5	ScrambledDigits ScrambledDigits
102.996	0.5	Digits Digits
106.495	0.5	MirroredLetters MirroredLetters
109.995	0.5	ScrambledDigits ScrambledDigits
113.495	0.5	Letters Letters
116.995	0.5	MirroredLetters MirroredLetters
118.495	0.5	MirroredDigits MirroredDigits
120.995	0.5	ScrambledDigits ScrambledDigits
123.495	0.5	MirroredLetters MirroredLetters
125.995	0.5	ScrambledDigits ScrambledDigits
128.495	0.5	MirroredDigits MirroredDigits
129.994	0.5	MirroredDigits MirroredDigits
132.494	0.5	Letters Letters
134.994	0.5	ScrambledLetters ScrambledLetters
138.494	0.5	Letters Letters
141.994	0.5	ScrambledLetters ScrambledLetters
145.494	0.5	Digits Digits
147.994	0.5	ScrambledLetters ScrambledLetters
150.494	0.5	MirroredLetters MirroredLetters
152.993	0.5	MirroredDigits MirroredDigits
156.493	0.5	Hash_Red Hash_Red
157.993	0.5	MirroredLetters MirroredLetters
161.493	0.5	ScrambledDigits ScrambledDigits
164.993	0.5	ScrambledLetters ScrambledLetters
166.493	0.5	MirroredDigits MirroredDigits
168.993	0.5	MirroredDigits MirroredDigits
170.493	0.5	ScrambledLetters ScrambledLetters
172.993	0.5	MirroredLetters MirroredLetters
174.492	0.5	ScrambledLetters ScrambledLetters
176.992	0.5	Letters Letters
180.492	0.5	Digits Digits
182.992	0.5	MirroredDigits MirroredDigits
186.492	0.5	MirroredLetters MirroredLetters
187.992	0.5	ScrambledLetters ScrambledLetters
191.492	0.5	MirroredLetters MirroredLetters
192.992	0.5	Letters Letters
195.492	0.5	MirroredDigits MirroredDigits
198.991	0.5	MirroredLetters MirroredLetters
200.491	0.5	ScrambledLetters ScrambledLetters
201.991	0.5	Hash_Red Hash_Red
205.491	0.5	MirroredDigits MirroredDigits
206.991	0.5	MirroredLetters MirroredLetters
209.491	0.5	Digits Digits
210.991	0.5	ScrambledLetters ScrambledLetters
212.491	0.5	Digits Digits
215.991	0.5	MirroredLetters MirroredLetters
219.49	0.5	Letters Letters
220.99	0.5	Digits Digits
222.49	0.5	ScrambledDigits ScrambledDigits
224.99	0.5	Letters Letters
226.49	0.5	Digits Digits
227.99	0.5	ScrambledDigits ScrambledDigits
229.49	0.5	Letters Letters
231.99	0.5	MirroredDigits MirroredDigits
235.49	0.5	MirroredDigits MirroredDigits
238.99	0.5	MirroredDigits MirroredDigits
242.489	0.5	Letters Letters
243.989	0.5	Digits Digits
245.489	0.5	ScrambledDigits ScrambledDigits
246.989	0.5	ScrambledLetters ScrambledLetters
250.489	0.5	ScrambledLetters ScrambledLetters
253.989	0.5	MirroredLetters MirroredLetters
256.489	0.5	Letters Letters
258.989	0.5	Digits Digits
261.489	0.5	ScrambledDigits ScrambledDigits
263.989	0.5	MirroredLetters MirroredLetters
267.488	0.5	ScrambledDigits ScrambledDigits
270.988	0.5	Letters Letters
273.488	0.5	ScrambledLetters ScrambledLetters
275.988	0.5	Letters Letters
277.488	0.5	Letters Letters
280.988	0.5	Digits Digits
284.488	0.5	Digits Digits
285.988	0.5	ScrambledLetters ScrambledLetters
287.487	0.5	Hash_Red Hash_Red
288.987	0.5	ScrambledDigits ScrambledDigits
292.487	0.5	ScrambledLetters ScrambledLetters
293.987	0.5	Digits Digits
297.487	0.5	Digits Digits
