onset	duration	Condition Name
16	0.5	Digits Digits
19.5	0.5	Digits Digits
20.999	0.5	Letters Letters
24.499	0.5	ScrambledLetters ScrambledLetters
27.999	0.5	ScrambledDigits ScrambledDigits
31.499	0.5	MirroredLetters MirroredLetters
33.999	0.5	MirroredDigits MirroredDigits
35.499	0.5	Hash_Red Hash_Red
37.999	0.5	ScrambledDigits ScrambledDigits
41.499	0.5	ScrambledDigits ScrambledDigits
44.999	0.5	Digits Digits
46.499	0.5	Hash_Red Hash_Red
49.998	0.5	Letters Letters
52.498	0.5	ScrambledLetters ScrambledLetters
53.998	0.5	Digits Digits
55.498	0.5	ScrambledDigits ScrambledDigits
56.998	0.5	ScrambledDigits ScrambledDigits
60.498	0.5	Letters Letters
61.998	0.5	MirroredDigits MirroredDigits
63.498	0.5	ScrambledLetters ScrambledLetters
65.998	0.5	ScrambledDigits ScrambledDigits
69.498	0.5	Letters Letters
70.998	0.5	ScrambledLetters ScrambledLetters
72.498	0.5	ScrambledLetters ScrambledLetters
74.998	0.5	Hash_Red Hash_Red
76.497	0.5	MirroredLetters MirroredLetters
79.997	0.5	MirroredLetters MirroredLetters
81.497	0.5	Letters Letters
83.997	0.5	MirroredDigits MirroredDigits
87.497	0.5	ScrambledLetters ScrambledLetters
88.997	0.5	ScrambledLetters ScrambledLetters
91.497	0.5	ScrambledLetters ScrambledLetters
93.997	0.5	Letters Letters
96.497	0.5	MirroredDigits MirroredDigits
97.997	0.5	Digits Digits
101.497	0.5	ScrambledDigits ScrambledDigits
102.997	0.5	Letters Letters
104.496	0.5	Digits Digits
106.996	0.5	Digits Digits
110.496	0.5	ScrambledLetters ScrambledLetters
111.996	0.5	ScrambledDigits ScrambledDigits
113.496	0.5	Letters Letters
115.996	0.5	Letters Letters
119.496	0.5	Hash_Red Hash_Red
120.996	0.5	ScrambledDigits ScrambledDigits
123.496	0.5	MirroredLetters MirroredLetters
125.996	0.5	ScrambledLetters ScrambledLetters
128.496	0.5	MirroredDigits MirroredDigits
130.996	0.5	Letters Letters
134.495	0.5	MirroredLetters MirroredLetters
137.995	0.5	ScrambledLetters ScrambledLetters
141.495	0.5	Digits Digits
142.995	0.5	MirroredDigits MirroredDigits
145.495	0.5	Letters Letters
146.995	0.5	Letters Letters
150.495	0.5	MirroredLetters MirroredLetters
153.995	0.5	MirroredLetters MirroredLetters
156.495	0.5	MirroredLetters MirroredLetters
159.995	0.5	MirroredLetters MirroredLetters
161.494	0.5	MirroredDigits MirroredDigits
164.994	0.5	MirroredDigits MirroredDigits
168.494	0.5	MirroredDigits MirroredDigits
169.994	0.5	ScrambledDigits ScrambledDigits
172.494	0.5	MirroredLetters MirroredLetters
173.994	0.5	Digits Digits
177.494	0.5	ScrambledLetters ScrambledLetters
180.994	0.5	Digits Digits
183.494	0.5	MirroredDigits MirroredDigits
185.994	0.5	ScrambledDigits ScrambledDigits
188.494	0.5	ScrambledDigits ScrambledDigits
190.993	0.5	ScrambledDigits ScrambledDigits
192.493	0.5	Letters Letters
195.993	0.5	MirroredLetters MirroredLetters
197.493	0.5	ScrambledDigits ScrambledDigits
199.993	0.5	Digits Digits
202.493	0.5	ScrambledDigits ScrambledDigits
205.993	0.5	Digits Digits
207.493	0.5	Digits Digits
209.993	0.5	ScrambledLetters ScrambledLetters
213.493	0.5	MirroredDigits MirroredDigits
215.993	0.5	Letters Letters
218.492	0.5	MirroredLetters MirroredLetters
219.992	0.5	MirroredDigits MirroredDigits
221.492	0.5	ScrambledLetters ScrambledLetters
222.992	0.5	ScrambledDigits ScrambledDigits
225.492	0.5	Letters Letters
228.992	0.5	MirroredLetters MirroredLetters
231.492	0.5	MirroredDigits MirroredDigits
234.992	0.5	ScrambledLetters ScrambledLetters
237.492	0.5	MirroredLetters MirroredLetters
240.992	0.5	Digits Digits
243.492	0.5	MirroredLetters MirroredLetters
246.991	0.5	MirroredDigits MirroredDigits
249.491	0.5	Digits Digits
252.991	0.5	MirroredDigits MirroredDigits
256.491	0.5	Hash_Red Hash_Red
259.991	0.5	Letters Letters
262.491	0.5	MirroredDigits MirroredDigits
265.991	0.5	MirroredLetters MirroredLetters
268.491	0.5	ScrambledLetters ScrambledLetters
271.991	0.5	ScrambledLetters ScrambledLetters
275.49	0.5	Digits Digits
278.99	0.5	MirroredDigits MirroredDigits
280.49	0.5	MirroredLetters MirroredLetters
282.99	0.5	Digits Digits
284.49	0.5	ScrambledLetters ScrambledLetters
285.99	0.5	Letters Letters
287.49	0.5	ScrambledDigits ScrambledDigits
288.99	0.5	Letters Letters
290.49	0.5	ScrambledDigits ScrambledDigits
291.99	0.5	Digits Digits
294.49	0.5	MirroredDigits MirroredDigits
296.99	0.5	Hash_Red Hash_Red
299.49	0.5	MirroredLetters MirroredLetters
